Dst Port,Protocol,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Fwd IAT Std,Bwd IAT Std,Bwd IAT Max,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,Down/Up Ratio,Average Packet Size,Bwd Segment Size Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Fwd Seg Size Min,Active Mean,Active Min,Idle Std,Src IP,Dst IP,Timestamp,Label
80,6,0.0,8760.0,0.0,2898.75,4129.722296958961,4500960.471133896,80573.93026903925,150985.0,0.3557533227805039,0.0,8760.0,1055.909090909091,2692.7837066703096,7251084.090909091,1.0,2.0,1.0,0.5714285714285714,1055.909090909091,2898.75,0.0,0.0,1054.0,8192.0,20.0,183041.0,183041.0,0.0,45.33.211.130,192.168.10.50,22/04/2026 10:16:31 AM,DDoS
80,17,18.64,861.62,24.7,751.89,213.9,229478.41,166491.44,244237.81,67.33,24.7,1326.04,597.01,295.6,136.12,1.0,1.0,0.0,1.84,596.23,45.61,0.0,13.0,4216.0,16384.0,40.0,47852.82,67746.42,45234.95,192.168.1.173,157.240.1.35,22/04/2026 10:16:31 AM,BENIGN
443,6,0.0,484.0,0.0,135.33333333333334,206.3849558470772,19568442.515627254,20504607.209031142,45014644.0,0.0945468457402134,0.0,1785.0,163.94736842105266,420.86728888546463,177129.27485380112,0.0,2.0,0.0,0.9,163.94736842105263,135.33333333333334,0.0,3.333333333333333,406.0,65535.0,20.0,2608953.5,5994.0,36073.75954901291,85.25.41.22,108.159.120.37,22/04/2026 10:16:40 AM,NeedManualLabel
80,6,0.0,4344.0,0.0,1932.5,1754.8314733899665,17179.37514288573,12408.16582738964,28291.0,115.38905342513172,0.0,4344.0,992.3333333333331,1539.9459455291003,2371433.515151515,1.0,2.0,1.0,1.0,992.3333333333334,1932.5,44941860.0,0.0,966.0,29200.0,32.0,0.0,0.0,0.0,45.33.172.171,192.168.10.50,22/04/2026 10:16:40 AM,DoS Hulk
443,6,7.62,157.87,23.75,250.46,128.43,449842.83,15065.59,219800.59,24.57,3.85,1160.31,350.68,66.19,276.34,0.0,1.0,0.0,1.81,782.84,7.17,0.0,7.0,4215.0,8192.0,20.0,4496.42,74778.2,17733.82,192.168.1.168,104.244.42.65,22/04/2026 10:16:40 AM,BENIGN
636,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18181.81818181818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1024.0,24.0,0.0,0.0,0.0,198.51.114.215,192.168.10.50,22/04/2026 10:16:47 AM,PortScan
4449,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20833.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29200.0,40.0,0.0,0.0,0.0,85.25.196.133,192.168.10.50,22/04/2026 10:16:47 AM,PortScan
443,17,0.0,453.51,7.22,175.11,26.94,196263.14,69608.95,159985.89,70.96,17.6,390.79,1452.75,185.74,358.03,1.0,1.0,0.0,1.08,380.76,44.88,0.0,5.0,4961.0,16384.0,20.0,3294.77,19373.5,75875.21,192.168.1.95,157.240.1.35,22/04/2026 10:16:47 AM,BENIGN
80,6,0.0,4344.0,0.0,2319.0,2196.731435565121,2144.4643686877685,2912.0284453738886,6067.0,416.6666666666667,0.0,4344.0,852.7142857142857,1667.085592771521,2779174.373626374,1.0,2.0,2.0,0.5555555555555556,852.7142857142857,2319.0,0.0,0.0,828.0,29200.0,20.0,0.0,0.0,0.0,185.220.191.7,192.168.10.50,22/04/2026 10:16:47 AM,DoS Hulk
8042,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14925.373134328358,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29200.0,40.0,0.0,0.0,0.0,85.25.175.39,192.168.10.50,22/04/2026 10:16:54 AM,PortScan
8402,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16129.032258064515,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29200.0,40.0,0.0,0.0,0.0,91.134.116.38,192.168.10.50,22/04/2026 10:16:54 AM,PortScan
8080,6,2.25,1358.42,21.49,889.13,161.18,452645.98,136429.45,17463.33,95.1,19.12,301.95,456.48,178.35,18.06,1.0,1.0,0.0,0.5,169.05,98.1,0.0,9.0,4838.0,65535.0,20.0,99034.31,16687.73,70842.14,192.168.1.105,142.250.80.46,22/04/2026 10:16:54 AM,BENIGN
